OBJECTID,province,district,ORIG_FID,X_coordinate,Y_coordinate
1,Çanakkale,Çan,1,26.9952812194824,40.0399208068848
2,Çanakkale,Ayvacık,2,26.3714199066162,39.5867881774902
3,Çanakkale,Bayramiç,3,26.6850700378418,39.8460845947266
4,Çanakkale,Biga,4,27.2247200012207,40.2771263122559
5,Çanakkale,Bozcaada,5,26.0339508056641,39.8257064819336
6,Çanakkale,Eceabat,6,26.328784942627,40.2370529174805
7,Çanakkale,Ezine,7,26.2910499572754,39.798210144043
8,Çanakkale,Gökçeada,8,25.8399467468262,40.1614875793457
9,Çanakkale,Gelibolu,9,26.7594680786133,40.5459594726563
10,Çanakkale,Lapseki,10,26.7867393493652,40.2693023681641
11,Çanakkale,Merkez,11,26.4906311035156,40.0513610839844
12,Çanakkale,Yenice,12,27.2870140075684,39.9535293579102
13,Çankiri,Çerkeş,13,32.8161964416504,40.831111907959
14,Çankiri,Atkaracalar,14,33.1337471008301,40.854305267334
15,Çankiri,Şabanözü,15,33.2725372314453,40.4793510437012
16,Çankiri,Bayramören,16,33.223575592041,41.0001411437988
17,Çankiri,Eldivan,17,33.5060691833496,40.5077819824219
18,Çankiri,Ilgaz,18,33.6974220275879,40.9323463439941
19,Çankiri,Kızılırmak,19,33.9952850341797,40.3684997558594
20,Çankiri,Korgun,20,33.4973220825195,40.7180976867676
21,Çankiri,Kurşunlu,21,33.3516731262207,40.8353729248047
22,Çankiri,Merkez,22,33.7720489501953,40.5204925537109
23,Çankiri,Orta,23,33.0937347412109,40.6380310058594
24,Çankiri,Yapraklı,24,33.9512252807617,40.7240600585938
25,Çorum,İskilip,25,34.4457664489746,40.7947540283203
26,Çorum,Alaca,26,34.9114456176758,40.158992767334
27,Çorum,Bayat,27,34.2124328613281,40.6708831787109
28,Çorum,Boğazkale,28,34.5917282104492,40.0569610595703
29,Çorum,Dodurga,29,34.7728500366211,40.8415565490723
30,Çorum,Kargı,30,34.5040512084961,41.1350784301758
31,Çorum,Laçin,31,34.9209213256836,40.7647972106934
32,Çorum,Mecitözü,32,35.2757110595703,40.4831809997559
33,Çorum,Merkez,33,34.8754692077637,40.4897537231445
34,Çorum,Oğuzlar,34,34.6582565307617,40.7886962890625
35,Çorum,Ortaköy,35,35.263298034668,40.2708358764648
36,Çorum,Osmancık,36,34.8449325561523,41.0069313049316
37,Çorum,Sungurlu,37,34.3226776123047,40.1950759887695
38,Çorum,Uğurludağ,38,34.4479484558105,40.4642868041992
39,Adana,İmamoğlu,39,35.6081657409668,37.259449005127
40,Adana,Aladağ,40,35.3877830505371,37.6666412353516
41,Adana,Ceyhan,41,35.768196105957,37.0118865966797
42,Adana,Feke,42,35.8217544555664,37.8714942932129
43,Adana,Karaisali,43,35.1428871154785,37.259147644043
44,Adana,Karataş,44,35.229133605957,36.6759796142578
45,Adana,Kozan,45,35.8409423828125,37.5368156433105
46,Adana,Pozantı,46,34.984302520752,37.5464820861816
47,Adana,Saimbeyli,47,36.1343650817871,37.9890060424805
48,Adana,Seyhan,48,35.1789817810059,36.9127616882324
49,Adana,Tufanbeyli,49,36.2612419128418,38.2709274291992
50,Adana,Yüreğir,50,35.4219665527344,36.9702224731445
51,Adana,Yumurtalık,51,35.6136283874512,36.7105712890625
52,Adiyaman,Çelikhan,52,38.3210144042969,38.0585861206055
53,Adiyaman,Besni,53,37.9021110534668,37.5809860229492
54,Adiyaman,Gölbaşı,54,37.598072052002,37.6982727050781
55,Adiyaman,Gerger,55,38.9931869506836,38.024341583252
56,Adiyaman,Kahta,56,38.6943397521973,37.7995147705078
57,Adiyaman,Merkez,57,38.2612838745117,37.7084159851074
58,Adiyaman,Samsat,58,38.4911842346191,37.5657043457031
59,Adiyaman,Sincik,59,38.5504150390625,38.040168762207
60,Adiyaman,Tut,60,37.9227828979492,37.794750213623
61,Afyon,İhsaniye,61,30.4699440002441,39.0295562744141
62,Afyon,İscehisar,62,30.7829933166504,38.9253883361816
63,Afyon,Çay,63,30.9829902648926,38.5200538635254
64,Afyon,Çobanlar,64,30.8276653289795,38.6850509643555
65,Afyon,Şuhut,65,30.6000518798828,38.4533309936523
66,Afyon,Başmakçı,66,30.0094795227051,37.867488861084
67,Afyon,Bayat,67,30.9254245758057,39.0251083374023
68,Afyon,Bolvadin,68,31.2193565368652,38.7749137878418
69,Afyon,"Dazkırı

",69,29.7832412719727,37.9193153381348
70,Afyon,Dinar,70,30.2505378723145,38.1396331787109
71,Afyon,Emirdağ,71,31.3402137756348,39.0282669067383
72,Afyon,Evciler,72,29.8711757659912,38.032600402832
73,Afyon,Hocalar,73,29.9492835998535,38.5802421569824
74,Afyon,Kızılören,74,30.1560020446777,38.2619934082031
75,Afyon,Merkez,75,30.5367050170898,38.7853775024414
76,Afyon,Sandıklı,76,30.1802787780762,38.4514007568359
77,Afyon,Sincanlı,77,30.2542037963867,38.7461357116699
78,Afyon,Sultandağı,78,31.4149608612061,38.6074295043945
79,Agri,Diyadin,79,43.6174774169922,39.477840423584
80,Agri,Doğubeyazıt,80,44.0361938476562,39.5777244567871
81,Agri,Eleşkirt,81,42.6912307739258,39.8251037597656
82,Agri,Hamur,82,43.0881004333496,39.501335144043
83,Agri,Merkez,83,43.1724357604981,39.8119163513184
84,Agri,Patnos,84,42.9133148193359,39.2166137695312
85,Agri,Taşlıçay,85,43.3847732543945,39.5895919799805
86,Agri,Tutak,86,42.7201805114746,39.5082092285156
87,Aksaray,Ağaçören,87,33.8406639099121,38.6513938903809
88,Aksaray,Eskil,88,33.4220237731934,38.2193603515625
89,Aksaray,Gülağaç,89,34.3206100463867,38.3629493713379
90,Aksaray,Güzelyurt,90,34.3228187561035,38.2309265136719
91,Aksaray,Merkez,91,33.865535736084,38.2844085693359
92,Aksaray,Ortaköy,92,34.1330299377441,38.6171875
93,Aksaray,"Sarıyahşi

",93,34.0372543334961,38.8577308654785
94,Amasya,Göynücek,94,35.5383758544922,40.3586730957031
95,Amasya,Gümüşhacıköy,95,35.210620880127,40.9096984863281
96,Amasya,Hamamözü,96,35.1207046508789,40.7600479125977
97,Amasya,Merkez,97,35.8973159790039,40.6083068847656
98,Amasya,Merzifon,98,35.4541778564453,40.8178405761719
99,Amasya,Suluova,99,35.7469100952148,40.7780952453613
100,Amasya,Taşova,100,36.2854995727539,40.7649726867676
101,Ankara,Çamlıdere,101,32.441780090332,40.4645462036133
102,Ankara,Çankaya,102,32.833553314209,39.8782768249512
103,Ankara,Çubuk,103,33.0231552124023,40.2671394348145
104,Ankara,Akyurt,104,33.1613616943359,40.0608329772949
105,Ankara,Altındağ,105,32.9961471557617,39.9833908081055
106,Ankara,Ayaş,106,32.2911262512207,40.0083465576172
107,Ankara,Şultan Koçhisar,107,33.549015045166,38.9536933898926
108,Ankara,Bala,108,33.0959281921387,39.5094184875488
109,Ankara,Beypazarı,109,31.9286918640137,40.1486282348633
110,Ankara,Elmadağ,110,33.3001518249512,39.8775749206543
111,Ankara,Etimesgut,111,32.6259574890137,39.9101066589355
112,Ankara,Evren,112,33.8227844238281,38.9788131713867
113,Ankara,Gölbaşı,113,32.8128204345703,39.6426200866699
114,Ankara,Güdül,114,32.2419357299805,40.2140769958496
115,Ankara,Haymana,115,32.5935668945313,39.3185195922852
116,Ankara,Kızılcahamam,116,32.6636962890625,40.4436645507812
117,Ankara,Kalecik,117,33.4550399780273,40.1585426330566
118,Ankara,Kazan,118,32.6496658325195,40.1435279846191
119,Ankara,Keçiören,119,32.8264999389648,40.0538597106934
120,Ankara,Mamak,120,33.0102157592773,39.8676414489746
121,Ankara,Nallıhan,121,31.316427230835,40.1817588806152
122,Ankara,Polatlı,122,32.169319152832,39.5147399902344
123,Ankara,"Sincan

",123,32.5007362365723,39.9539566040039
124,Ankara,Yenimahalle,124,32.6565399169922,39.8842658996582
125,Antalya,İbradi,125,31.5628852844238,37.1485137939453
126,Antalya,Akseki,126,31.8479309082031,37.0533752441406
127,Antalya,Alanya,127,32.2019538879395,36.5875549316406
128,Antalya,Elmalı,128,29.8883247375488,36.7360038757324
129,Antalya,Finike,129,30.030912399292,36.433422088623
130,Antalya,Gündoğmuş,130,32.0749092102051,36.8219528198242
131,Antalya,Gazipaşa,131,32.4811706542969,36.3246116638184
132,Antalya,Kaş,132,29.5986328125,36.3790740966797
133,Antalya,Kale,133,29.9107456207275,36.2752113342285
134,Antalya,Kemer,134,30.4749927520752,36.5369262695312
135,Antalya,Korkuteli,135,30.177734375,37.0524520874023
136,Antalya,Kumluca,136,30.2855529785156,36.5240364074707
137,Antalya,Manavgat,137,31.3691921234131,37.0231742858887
138,Antalya,Merkez,138,30.6362457275391,36.9786033630371
139,Antalya,Serik,139,31.01540184021,37.0959854125977
140,Ardahan,Çıldır,140,43.0966491699219,41.156925201416
141,Ardahan,Damal,141,42.8466567993164,41.3615455627441
142,Ardahan,Göle,142,42.6281089782715,40.8373489379883
143,Ardahan,Hanak,143,42.7727546691895,41.2608261108398
144,Ardahan,Merkez,144,42.6955070495606,41.064582824707
145,Ardahan,Posof,145,42.6896591186523,41.4692192077637
146,Artvin,Ardanuç,146,42.1399917602539,41.0884552001953
147,Artvin,Arhavi,147,41.3541221618652,41.2343597412109
148,Artvin,Şavşat,148,42.303279876709,41.3229331970215
149,Artvin,Borçka,149,41.780632019043,41.3806304931641
150,Artvin,Hopa,150,41.4717559814453,41.3985748291016
151,Artvin,Merkez,151,41.8290100097656,41.1435470581055
152,Artvin,Murgul,152,41.5357704162598,41.1983985900879
153,Artvin,Yusufeli,153,41.5809326171875,40.8329963684082
154,Aydin,İncirliova,154,27.7412719726563,37.8822364807129
155,Aydin,Çine,155,28.0340824127197,37.6106071472168
