,province,KurdPopProp
1,ADANA,10.05
2,ADIYAMAN,43.69
3,AFYON,0.02
4,AĞRI,70.45
5,AKSARAY,NA
6,AMASYA,0.76
7,ANKARA,6.74
8,ANTALYA,3.22
9,ARDAHAN,NA
10,ARTVİN,0.02
11,AYDIN,4.07
12,BALIKESİR,2.48
13,BARTIN,NA
14,BATMAN,NA
15,BAYBURT,NA
16,BİLECİK,3.93
17,BİNGÖL,76.63
18,BİTLİS,64.03
19,BOLU,0.61
20,BURDUR,0.2
21,BURSA,4.47
22,ÇANAKKALE,0.13
23,ÇANKIRI,1.26
24,ÇORUM,3.89
25,DENİZLİ,3.08
26,DİYARBAKIR,72.78
27,DÜZCE,NA
28,EDİRNE,0.14
29,ELAZIĞ,43.15
30,ERZİNCAN,19.74
31,ERZURUM,16.22
32,ESKİŞEHİR,3.1
33,GAZİANTEP,13.22
34,GİRESUN,0.26
35,GÜMÜŞHANE,2.07
36,HAKKARİ,89.47
37,HATAY,5.48
38,IĞDIR,NA
39,ISPARTA,0.27
40,İSTANBUL,8.16
41,İZMİR,6.91
42,KAHRAMANMARAŞ,15.37
43,KARABÜK,NA
44,KARAMAN,15.37
45,KARS,19.02
46,KASTAMONU,0.25
47,KAYSERİ,4.56
48,KİLİS,NA
49,KIRIKKALE,NA
50,KIRKLARELİ,0.24
51,KIRŞEHİR,6.61
52,KOCAELİ,7.94
53,KONYA,5.42
54,KÜTAHYA,0.03
55,MALATYA,17.2
56,MANİSA,3.48
57,MARDİN,74.84
58,MERSİN,NA
59,MUĞLA,2.06
60,MUŞ,67.75
61,NEVŞEHİR,2.1
62,NİĞDE,2.59
63,ORDU,0.04
64,OSMANİYE,NA
65,RİZE,0.06
66,SAKARYA,2.82
67,SAMSUN,0.58
68,ŞANLIURFA,47.84
69,SİİRT,78.78
70,SİNOP,0.8
71,ŞIRNAK,NA
72,SİVAS,11.72
73,TEKİRDAĞ,3.3
74,TOKAT,1.71
75,TRABZON,0.04
76,TUNCELİ,55.9
77,UŞAK,0.21
78,VAN,70.7
79,YALOVA,NA
80,YOZGAT,2.25
81,ZONGULDAK,0.13
