province,district,year,RP,DYP,ANAP,DSP,CHP,HADEP,İP,MHP,YDH,YDP,YENİ PARTİ,SHP,SP,HP,IDP,MÇP,MDP,BBP,BP,DBP,DEPAR,DP,DTP,EMEP,FP,LDP,MİLLET PARTİSİ,ÖDP,SİP,BĞMZ
,ADANA,1999,-, 79 269, 100 141, 219 535, 67 502, 62 418, 1 632, 199 723,-,  841,-,-,-,-,-,-,-, 6 294, 2 286, 1 056,  828, 2 219, 3 439, 1 465, 87 018, 1 846, 2 112, 7 030,  755,  80
,,,-,9.3,11.8,25.9,8.0,7.4,0.2,23.6,-,0.1,-,-,-,-,-,-,-,0.7,0.3,0.1,0.1,0.3,0.4,0.2,10.3,0.2,0.2,0.8,0.1,0.0
,,1995, 158 680, 165 837, 157 542, 178 461, 74 898, 63 277, 2 165, 136 386, 3 370, 2 460, 1 460,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-, 3 734,-,-, 2 437
,,,16.7,17.4,16.6,18.8,7.9,6.7,0.2,14.3,0.3,0.3,0.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.4,-,-,0.3
,,1991, 117 303, 239 377, 169 175, 93 119,-,-,-,-,-,-,-, 176 264, 3 155,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,  390
,,,14.7,30.0,21.2,11.6,-,-,-,-,-,-,-,22.1,0.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0
,,1987, 43 055, 149 868, 264 776, 78 049,-,-,-,-,-,-,-, 210 436,-,-, 5 240, 29 797,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,5.5,19.2,33.9,10.0,-,-,-,-,-,-,-,26.9,-,-,0.7,3.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,1983,-,-, 213 739,-,-,-,-,-,-,-,-,-,-, 194 641,-,-, 114 518,-,-,-,-,-,-,-,-,-,-,-,-, 4 247
,,,-,-,40.6,-,-,-,-,-,-,-,-,-,-,36.9,-,-,21.7,-,-,-,-,-,-,-,-,-,-,-,-,0.8
ADANA,    Merkez,1983,-,-, 93 520,-,-,-,-,-,-,-,-,-,-, 112 214,-,-, 49 779,-,-,-,-,-,-,-,-,-,-,-,-, 3 144
