province,district,year,AK PARTİ,ANADOLU PARTİSİ,ANAP,ATP,BBP,BTP,CHP,DEHAP,DP,DSP,DYP,EMEP,GENÇ PARTİ,HAK-PAR,HAP,HAS PARTİ,HDP,HEPAR,HKP,HÜDA PAR,HYP,İP,İYİ PARTİ,KP,LDP,MEP,MHP,MİLLET PARTİSİ,MMP,ÖDP,SAADET PARTİSİ,TKP,TURK PARTİ,VATAN PARTİSİ,YTP,YURT-P,CUMHUR İTTİFAKI ,MİLLET İTTİFAKI ,BĞMZ
,ADANA,2018, 432 103,-,-,-,-,-, 337 497,-,-,-,-,-,-,-,-,-, 172 831,-,-, 6 992,-,-, 159 022,-,-,-, 150 093,-,-,-, 13 738,-,-, 2 395,-,-, 11 404, 2 779,  413
,,,33.5,-,-,-,-,-,26.2,-,-,-,-,-,-,-,-,-,13.4,-,-,0.5,-,-,12.3,-,-,-,11.6,-,-,-,1.1,-,-,0.2,-,-,0.9,0.2,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2015 (1 Kasım), 462 362,-,-,-, 4 870, 1 088, 374 000,-, 1 447,  774,-,-,-, 2 581,-,-, 147 572,-, 2 056,-,-,-,-,  603,  870,-, 246 182,  482,-,-, 8 001,-,-, 2 841,-,-,-,-,-
,,,36.8,-,-,-,0.4,0.1,29.8,-,0.1,0.1,-,-,-,0.2,-,-,11.8,-,0.2,-,-,-,-,0.0,0.1,-,19.6,0.0,-,-,0.6,-,-,0.2,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2015 (7 Haziran), 368 055,  590,-,-,-, 1 735, 354 389,-, 1 534, 1 897, 1 100,-,-, 1 265,-,-, 177 730,-, 1 432,-,-,-,-,  310,  967,  644, 287 799,  509,-,-, 18 917,-, 2 199, 3 731,-,-,-,-, 5 014
,,,29.9,0.0,-,-,-,0.1,28.8,-,0.1,0.2,0.1,-,-,0.1,-,-,14.5,-,0.1,-,-,-,-,0.0,0.1,0.1,23.4,0.0,-,-,1.5,-,0.2,0.3,-,-,-,-,0.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2011, 438 321,-,-,-, 6 885,-, 361 547,-, 6 436, 2 144, 2 055,-,-,-,-, 5 265,-, 2 183,-,-,-,-,-,-,  332,-, 238 140, 2 178,  856,-, 11 078, 1 322,-,-,-,-,-,-, 93 169
,,,37.4,-,-,-,0.6,-,30.9,-,0.5,0.2,0.2,-,-,-,-,0.4,-,0.2,-,-,-,-,-,-,0.0,-,20.3,0.2,0.1,-,0.9,0.1,-,-,-,-,-,-,8.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2007, 338 122,-,-,-,-, 3 118, 209 276,-, 48 426,-,-,-, 27 991,-,-,-,-,-,-,-, 4 142, 3 625,-,-,-,-, 210 006,-,-, 1 579, 14 322, 1 762,-,-,-,-,-,-, 54 222
,,,36.9,-,-,-,-,0.3,22.8,-,5.3,-,-,-,3.1,-,-,-,-,-,-,-,0.5,0.4,-,-,-,-,22.9,-,-,0.2,1.6,0.2,-,-,-,-,-,-,5.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2002, 229 729,-, 31 130,-, 4 866, 2 095, 182 436, 79 397,-, 11 954, 98 440,-, 75 464,-,-,-,-,-,-,-,-, 3 962,-,-, 1 598,-, 97 700, 1 487,-, 3 765, 14 178, 1 759,-,-, 9 025, 6 369,-,-, 1 115
,,,26.8,-,3.6,-,0.6,0.2,21.3,9.3,-,1.4,11.5,-,8.8,-,-,-,-,-,-,-,-,0.5,-,-,0.2,-,11.4,0.2,-,0.4,1.7,0.2,-,-,1.1,0.7,-,-,0.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANA,    Seyhan,2018, 136 592,-,-,-,-,-, 131 387,-,-,-,-,-,-,-,-,-, 92 814,-,-, 2 447,-,-, 44 007,-,-,-, 40 669,-,-,-, 4 605,-,-,  793,-,-, 3 533,  977,  141
ADANA,,,29.8,-,-,-,-,-,28.7,-,-,-,-,-,-,-,-,-,20.3,-,-,0.5,-,-,9.6,-,-,-,8.9,-,-,-,1.0,-,-,0.2,-,-,0.8,0.2,0.0
ADANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
